"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig15511",64.9370816146259,-2.62711080657901,0.363196783343055,-7.23329866084634,4.71401127009669e-13,3.76979481269632e-09
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig10548",28.5423586539609,2.69274326998906,0.399338884571065,6.74300293316383,1.55146075820044e-11,4.35174627084455e-08
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig18560",28.4522300679062,-3.72053159943216,0.552368023376287,-6.73560279013045,1.63251704545875e-11,4.35174627084455e-08
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig03604",205.77071042914,-2.25543897639507,0.343449805763688,-6.56701194336075,5.13349309486352e-11,1.02631360699059e-07
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig12108",13.3813941801911,-4.65406838942922,0.778803618847377,-5.9759203434586,2.28794782415954e-09,2.78756634967253e-06
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig12485",32.9071339193677,-3.93850869470435,0.660223052532878,-5.96542135206377,2.44003556930195e-09,2.78756634967253e-06
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig18341",42.1614914439259,5.03549426551935,0.841556299964565,5.98355007945561,2.18325867950415e-09,2.78756634967253e-06
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig07425",7.86233260349301,4.49911796971283,0.773696591950955,5.81509343135123,6.06000290334688e-09,6.05773040225812e-06
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig04159",4982.70165008965,-2.95610935111307,0.511128034684204,-5.78350070924885,7.31618793019469e-09,6.50083943086299e-06
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig02545",6.2498775584466,5.02901573750471,0.876906238950907,5.73495262563213,9.75396058019594e-09,7.8002422759827e-06
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig07250",42.4767536972617,2.30308509984626,0.403980442308755,5.70098167793492,1.19119440330501e-08,8.65998331202743e-06
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig08197",16.9608110863667,-4.1242600230614,0.728445221711662,-5.66172980498167,1.49854649742784e-08,9.98656361660869e-06
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig14113",7.84772600303409,3.95097825363683,0.701086154083085,5.63551031585286,1.7454069503532e-08,1.07369379861342e-05
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig14725",50.3119794604775,-2.65556629261688,0.472501133549225,-5.62023263874398,1.90700494583101e-08,1.08930846798647e-05
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig11093",16.9525781348701,-3.432649104455,0.613727111482481,-5.59311954813811,2.23025612058834e-08,1.18902387975633e-05
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig06240",9.31289734983017,4.51672018218537,0.814658628934854,5.54431024451416,2.95115176440578e-08,1.47502254124707e-05
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig19050",47.5252977692179,1.92014713228437,0.347310392478168,5.52861985667495,3.22759878525353e-08,1.51830044033367e-05
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig09664",245.289978792713,-3.39811055763124,0.622630983635189,-5.45766376384227,4.82440127244227e-08,2.00949191755489e-05
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig12805",12.991202908702,-4.16425227353144,0.762434116468954,-5.46178638072659,4.7136708093564e-08,2.00949191755489e-05
"20","Siderastrea_Mexico_Barshis-Radice_Host_contig14109",52.5301467360831,-1.80702007671705,0.331538873604537,-5.45040180981156,5.02561439928696e-08,2.00949191755489e-05
"21","Siderastrea_Mexico_Barshis-Radice_Host_contig15330",53.3676347015282,-2.82927680669133,0.525081070846799,-5.38826661972132,7.11404635833845e-08,2.58595585125603e-05
"22","Siderastrea_Mexico_Barshis-Radice_Host_contig18493",23.1857067960325,-3.34724037953595,0.621054369146286,-5.38960926100099,7.06110397512267e-08,2.58595585125603e-05
"23","Siderastrea_Mexico_Barshis-Radice_Host_contig02073",17.9053584820827,-2.60535898763514,0.485203275007202,-5.36962366463102,7.89011174563213e-08,2.74335754912261e-05
"24","Siderastrea_Mexico_Barshis-Radice_Host_contig17491",37.4887755186659,1.82710225227776,0.341231628497737,5.35443405501866,8.58246134609775e-08,2.85974764103099e-05
"25","Siderastrea_Mexico_Barshis-Radice_Host_contig12218",8.4758488629857,4.51881915896478,0.845488680187668,5.34462407936883,9.06048934233716e-08,2.89826933082681e-05
"26","Siderastrea_Mexico_Barshis-Radice_Host_contig10896",16.0120954375508,2.72353511540542,0.512843672840288,5.31065363509632,1.09232755788685e-07,3.35974749246966e-05
"27","Siderastrea_Mexico_Barshis-Radice_Host_contig18328",17.4929509358654,-2.97247508043946,0.560755877740191,-5.30083624342618,1.15273450538564e-07,3.41422882947e-05
"28","Siderastrea_Mexico_Barshis-Radice_Host_contig03157",88.2677237461347,-2.93005120997594,0.554455826204541,-5.28455301846721,1.26012051488629e-07,3.59899419912345e-05
"29","Siderastrea_Mexico_Barshis-Radice_Host_contig18209",99.6918959239707,-2.47735953730075,0.471825700690816,-5.25058201296277,1.51619379082369e-07,4.1810350845576e-05
"30","Siderastrea_Mexico_Barshis-Radice_Host_contig02835",24.5224451527617,-3.02062519123935,0.577754083018703,-5.22821954880338,1.71150201655408e-07,4.33314282294862e-05
"31","Siderastrea_Mexico_Barshis-Radice_Host_contig10346",9.61185234747751,-4.0821662117912,0.779986423166418,-5.23363752309857,1.66206240938927e-07,4.33314282294862e-05
"32","Siderastrea_Mexico_Barshis-Radice_Host_contig15234",137.319475765491,-1.7176871261796,0.328692750084697,-5.22581385119384,1.73390734443361e-07,4.33314282294862e-05
"33","Siderastrea_Mexico_Barshis-Radice_Host_contig02206",29.4207121981269,-3.27594732593607,0.635169308868919,-5.15759700633163,2.5013926441689e-07,6.06170817436929e-05
"34","Siderastrea_Mexico_Barshis-Radice_Host_contig08082",76.6248671468607,-3.11151902063285,0.604212405254501,-5.14971058782258,2.60888706100175e-07,6.13625583142089e-05
"35","Siderastrea_Mexico_Barshis-Radice_Host_contig02878",25.2489348813863,-2.1546546578677,0.422936346918816,-5.09451285888487,3.4963910452281e-07,7.20378437734973e-05
"36","Siderastrea_Mexico_Barshis-Radice_Host_contig07249",137.952261897881,-2.0639587055213,0.404466606809154,-5.10291497684793,3.34461290827085e-07,7.20378437734973e-05
"37","Siderastrea_Mexico_Barshis-Radice_Host_contig08057",13.3863721405457,4.01093485902988,0.78797130021781,5.09020424718665,3.5767803793701e-07,7.20378437734973e-05
"38","Siderastrea_Mexico_Barshis-Radice_Host_contig11650",3.48209458674629,-5.38288639772646,1.05503421281055,-5.10209653143546,3.35911327491623e-07,7.20378437734973e-05
"39","Siderastrea_Mexico_Barshis-Radice_Host_contig12586",14.9266515655189,2.7521735337918,0.540828899430123,5.08880634280415,3.60324340495172e-07,7.20378437734973e-05
"40","Siderastrea_Mexico_Barshis-Radice_Host_contig14545",493.325448952377,-2.52975746443627,0.496891530961912,-5.09116639508631,3.55867553329061e-07,7.20378437734973e-05
"41","Siderastrea_Mexico_Barshis-Radice_Host_contig01878",64.5726329145706,-2.80399600420624,0.552881928261445,-5.07160003045043,3.94484816972911e-07,7.69437824715212e-05
"42","Siderastrea_Mexico_Barshis-Radice_Host_contig17481",163.01980250967,-2.57611052209019,0.509169003749527,-5.05944097759227,4.20487405711243e-07,8.00628043684003e-05
"43","Siderastrea_Mexico_Barshis-Radice_Host_contig10174",64.9870284574573,-2.00311457186594,0.397185826941112,-5.04326800201491,4.57647556154814e-07,8.51118024783731e-05
"44","Siderastrea_Mexico_Barshis-Radice_Host_contig15430",7.96313786668285,-4.51794867803093,0.897259935556789,-5.03527294487673,4.77168427448913e-07,8.67253616888399e-05
"45","Siderastrea_Mexico_Barshis-Radice_Host_contig14119",13.9059006572903,4.47524792098946,0.88992842172094,5.02877288977381,4.93628627601658e-07,8.77232918873436e-05
"46","Siderastrea_Mexico_Barshis-Radice_Host_contig01006",5.81347453684683,4.27224801629421,0.85664472477811,4.98718767853361,6.12645453477902e-07,0.000104240972158783
"47","Siderastrea_Mexico_Barshis-Radice_Host_contig08074",42.1226307406382,-1.99737641667949,0.400325763403658,-4.98937765008515,6.05741249060053e-07,0.000104240972158783
"48","Siderastrea_Mexico_Barshis-Radice_Host_contig01686",29.1858313474168,-2.20799882780594,0.446386678191278,-4.9463815469417,7.56056987610573e-07,0.00012596224437337
"49","Siderastrea_Mexico_Barshis-Radice_Host_contig15614",7.22925889253041,-5.11804238232356,1.03924940344962,-4.92474892488277,8.44687394991072e-07,0.000137856430566196
"50","Siderastrea_Mexico_Barshis-Radice_Host_contig01333",36.1356710562941,-2.18929215754105,0.445660221199956,-4.91246930598002,8.99364659863299e-07,0.000143844383698536
"51","Siderastrea_Mexico_Barshis-Radice_Host_contig09767",31.1026923817532,-2.11555377918991,0.431125075051243,-4.9070534320892,9.24548520646956e-07,0.000144972833717916
"52","Siderastrea_Mexico_Barshis-Radice_Host_contig09382",31.1134484018284,2.10206300500781,0.431522332584211,4.87127280856916,1.10881613126766e-06,0.000170523126956683
"53","Siderastrea_Mexico_Barshis-Radice_Host_contig14073",12.2422251315691,-2.39020858236535,0.4910717405252,-4.86733074847482,1.13115632483007e-06,0.000170676549616341
"54","Siderastrea_Mexico_Barshis-Radice_Host_contig02667",43.8429075258764,-5.137994468044,1.06127181646723,-4.84135580378212,1.28956235312135e-06,0.000190974632183544
"55","Siderastrea_Mexico_Barshis-Radice_Host_contig03190",12.6532581679977,-3.03920915621311,0.634795675680083,-4.78769669147018,1.68706361953557e-06,0.000245299050280472
"56","Siderastrea_Mexico_Barshis-Radice_Host_contig17381",21.7586981411805,-2.53308365865465,0.529602656918085,-4.78298895514501,1.72707618903096e-06,0.000246632647922868
"57","Siderastrea_Mexico_Barshis-Radice_Host_contig00438",26.7683261947636,-3.12614150141832,0.654454058836915,-4.77671650012232,1.78180699870163e-06,0.000249984395940648
"58","Siderastrea_Mexico_Barshis-Radice_Host_contig09258",104.340322537833,2.68739444957437,0.564482225461432,4.76081323442484,1.92814420630308e-06,0.000265851193410443
"59","Siderastrea_Mexico_Barshis-Radice_Host_contig15612",30.3573312740876,-2.81319899824084,0.592223844775442,-4.75022919637345,2.03186225001415e-06,0.000275403430734969
"60","Siderastrea_Mexico_Barshis-Radice_Host_contig04975",504.777614244902,-1.79489277998591,0.380851481682355,-4.7128417934919,2.44285855244838e-06,0.000325592330732162
"61","Siderastrea_Mexico_Barshis-Radice_Host_contig11352",9.40495172885571,-3.37999629622798,0.718299596804666,-4.70555226713727,2.53179627049013e-06,0.000331914340575567
"62","Siderastrea_Mexico_Barshis-Radice_Host_contig00457",109.992664804149,-1.64784586514763,0.351066272006077,-4.69383132629472,2.68135145824633e-06,0.000345851090509611
"63","Siderastrea_Mexico_Barshis-Radice_Host_contig04627",11.6620174150235,2.08229591056987,0.445643312765359,4.67256177961824,2.97465999260283e-06,0.000377592951759442
"64","Siderastrea_Mexico_Barshis-Radice_Host_contig00887",31.9008200970806,-2.08337660472036,0.446633486867859,-4.6646224834833,3.09184127987009e-06,0.000386335229923767
