"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig08172",1656.52586016886,-8.95256869003911,1.34447526016439,-6.65878276476762,2.76104673259768e-11,1.82256694818773e-07
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig09703",56.7060314435875,-2.0410955725678,0.318478948599158,-6.40888693442889,1.46585848001612e-10,4.73057684088663e-07
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig10937",25.0968863874342,-2.26188248787328,0.356189081423924,-6.35022971178971,2.14993645245567e-10,4.73057684088663e-07
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig15451",33.5099917352324,-6.81017095812346,1.12998501998722,-6.02677985784315,1.67258574247482e-09,2.76018462151908e-06
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig14719",61.412654710193,1.61866190707076,0.272697730800543,5.93573662061268,2.92529088069965e-09,3.86196902069967e-06
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig14761",87.7204985111965,-3.2534872834599,0.58735212891913,-5.53924489802583,3.03778593987244e-08,3.34207083151633e-05
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig17010",48.3791146590866,2.81072647833157,0.514826876784958,5.45955661033913,4.77325125251594e-08,4.50117593112253e-05
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig12808",30.0269789848158,-2.51323458886638,0.464372705468319,-5.4121066102104,6.22875846603001e-08,4.65545230878915e-05
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig16958",17.5384644241298,-1.87486813754922,0.346637512430312,-5.40872834103937,6.34738233284386e-08,4.65545230878915e-05
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig16438",5.6516601848631,-3.25576092940498,0.616340733002119,-5.2824042856077,1.27499451074157e-07,8.41623876540514e-05
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig15865",7.97666252498935,-2.76062894927656,0.525880044314028,-5.24954118173013,1.52478510544719e-07,9.15009680096082e-05
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig16766",31.7573839212902,1.57585231961487,0.305160268255765,5.16401538320217,2.41707819350227e-07,0.000132959442960904
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig19243",12.6034343810729,-2.18644265188036,0.426843861576318,-5.12234765144778,3.01754878748922e-07,0.000153221842663203
"14","Siderastrea_Mexico_Barshis-Radice_Host_contig18365",47.5047983691271,-1.43897881799626,0.284948238150895,-5.04996566160289,4.41889490087754e-07,0.000208350894576376
"15","Siderastrea_Mexico_Barshis-Radice_Host_contig08725",17.7715470403754,-5.54374707018272,1.10404048498008,-5.02132588940588,5.13160075413481e-07,0.000225824643853626
"16","Siderastrea_Mexico_Barshis-Radice_Host_contig10346",8.78587513616785,-2.65917622319864,0.53537737267324,-4.96691933377922,6.80248668840225e-07,0.000280645091438395
"17","Siderastrea_Mexico_Barshis-Radice_Host_contig00667",35.6625303526083,-3.0163690991833,0.614477260443781,-4.90883763054934,9.16177909728061e-07,0.000326413636661036
"18","Siderastrea_Mexico_Barshis-Radice_Host_contig16752",356.622190568106,1.10389234175883,0.225105081524484,4.90389792306295,9.39533267165532e-07,0.000326413636661036
"19","Siderastrea_Mexico_Barshis-Radice_Host_contig17012",55.2162030028164,3.84610172811513,0.782494008957806,4.9151836104633,8.86992895301483e-07,0.000326413636661036
"20","Siderastrea_Mexico_Barshis-Radice_Host_contig06961",11.6974755716103,-2.1155962595955,0.433531077507386,-4.87991834808996,1.06129770643459e-06,0.000350281308008735
"21","Siderastrea_Mexico_Barshis-Radice_Host_contig03708",103.270375973966,-3.0458709480502,0.627540021788703,-4.85366804075449,1.2119855051352e-06,0.00038096744378083
"22","Siderastrea_Mexico_Barshis-Radice_Host_contig00822",63.6089282759115,-1.75833538614068,0.363160665749422,-4.84175614810089,1.28696639175723e-06,0.00038614841599952
"23","Siderastrea_Mexico_Barshis-Radice_Host_contig03396",16.8697278303321,-2.40187150211386,0.499322835995819,-4.81025767091889,1.50735851143772e-06,0.000398002941360015
"24","Siderastrea_Mexico_Barshis-Radice_Host_contig04361",24.3668328685723,-1.74301131571407,0.361254567298726,-4.82488381737954,1.40084903110936e-06,0.000398002941360015
"25","Siderastrea_Mexico_Barshis-Radice_Host_contig09761",231.911080704466,3.60459388358987,0.749200363642704,4.81125485052342,1.49985622492497e-06,0.000398002941360015
"26","Siderastrea_Mexico_Barshis-Radice_Host_contig14008",10.6941983548878,-2.01910450235428,0.420719694586315,-4.79916801693732,1.59326094980058e-06,0.000404504443447448
"27","Siderastrea_Mexico_Barshis-Radice_Host_contig03590",7.37709596425879,3.44203914071248,0.72661135493651,4.73711168608594,2.16785706161789e-06,0.000530000906064433
"28","Siderastrea_Mexico_Barshis-Radice_Host_contig03746",38.7953052885918,2.88098652239748,0.612577621265697,4.70305545351924,2.56296772183791e-06,0.000604219640423288
"29","Siderastrea_Mexico_Barshis-Radice_Host_contig03479",3.52569866778793,-3.09896424603134,0.670896295524729,-4.61914049414677,3.85332890164856e-06,0.000877097382061453
"30","Siderastrea_Mexico_Barshis-Radice_Host_contig00891",34.4258396634002,-1.5155747339722,0.328909392367215,-4.6078791580391,4.06796954522339e-06,0.000895088898933987
"31","Siderastrea_Mexico_Barshis-Radice_Host_contig05154",773.520849476244,-5.41000448771269,1.18809272172801,-4.55352043554661,5.27555442119139e-06,0.00106045228957479
"32","Siderastrea_Mexico_Barshis-Radice_Host_contig06802",239.579886608579,1.03646256650643,0.227503117975466,4.55581697398187,5.21823594603175e-06,0.00106045228957479
"33","Siderastrea_Mexico_Barshis-Radice_Host_contig15928",6.96039286093697,-2.20541402896023,0.484441226104019,-4.55249039537086,5.30145819663205e-06,0.00106045228957479
"34","Siderastrea_Mexico_Barshis-Radice_Host_contig07043",17.0037625515439,-1.86107934205749,0.410785039715625,-4.53054313600578,5.88322405103462e-06,0.00114221064590822
"35","Siderastrea_Mexico_Barshis-Radice_Host_contig17584",748.360019057601,-2.63332799334397,0.585474897982754,-4.49776412689436,6.86718220366109e-06,0.00129515056361048
"36","Siderastrea_Mexico_Barshis-Radice_Host_contig15560",45.5634255958193,-1.62670596824573,0.362969780083949,-4.48165675905442,7.40657991009567e-06,0.00135807872184838
"37","Siderastrea_Mexico_Barshis-Radice_Host_contig06694",46.6089290144486,1.31736006841115,0.29655091614627,4.44227279932386,8.90136042538332e-06,0.00158805081535014
"38","Siderastrea_Mexico_Barshis-Radice_Host_contig17534",6.13658729013067,2.27152242823533,0.513525543226552,4.42338742093146,9.7165273740404e-06,0.00168786308410633
"39","Siderastrea_Mexico_Barshis-Radice_Host_contig11695",16.827129085731,-2.04722883440734,0.464015755286931,-4.41198129822426,1.02428962828873e-05,0.00173367585547024
"40","Siderastrea_Mexico_Barshis-Radice_Host_contig08865",24.6513431027891,-1.57226233402727,0.358586991214623,-4.38460505413659,1.16196397542336e-05,0.0019175310504424
"41","Siderastrea_Mexico_Barshis-Radice_Host_contig07783",29.149628888193,-1.34937994437701,0.309231685968056,-4.36365355042046,1.27908087567189e-05,0.00205932020983174
"42","Siderastrea_Mexico_Barshis-Radice_Host_contig07613",57.9160836949165,1.46238246297166,0.337073691234469,4.33846515168823,1.43481229787651e-05,0.00225504666149591
"43","Siderastrea_Mexico_Barshis-Radice_Host_contig05452",5.22376211484039,-2.95073326973085,0.68581350553015,-4.30253012799721,1.68858700967289e-05,0.00243641114811468
"44","Siderastrea_Mexico_Barshis-Radice_Host_contig12324",76.4067950823106,-2.50921371597946,0.583660922845717,-4.29909493297144,1.71497007143557e-05,0.00243641114811468
"45","Siderastrea_Mexico_Barshis-Radice_Host_contig12706",9.77202418345731,-1.80539428294798,0.420196128335406,-4.29655144634482,1.73475721801833e-05,0.00243641114811468
"46","Siderastrea_Mexico_Barshis-Radice_Host_contig15785",52.551089578846,-1.33883040089585,0.311318977058978,-4.30051008629076,1.70405414745477e-05,0.00243641114811468
"47","Siderastrea_Mexico_Barshis-Radice_Host_contig17374",13.0355407117236,-1.85217207036426,0.430812997293455,-4.29924835601612,1.71378341511234e-05,0.00243641114811468
"48","Siderastrea_Mexico_Barshis-Radice_Host_contig18270",7.07170337709508,-2.45794555902693,0.575539726091467,-4.27067923828477,1.9487852666524e-05,0.00267998573857761
"49","Siderastrea_Mexico_Barshis-Radice_Host_contig01326",32.9317747812447,-1.42226977608866,0.333976765405499,-4.25858899005086,2.0572132193125e-05,0.0027713600940167
"50","Siderastrea_Mexico_Barshis-Radice_Host_contig08635",7.21841899631973,2.24560469020195,0.530328188795951,4.23436795864148,2.29195404047529e-05,0.00296650757277988
"51","Siderastrea_Mexico_Barshis-Radice_Host_contig12516",21.4422036833752,-1.97476875839375,0.465901786061984,-4.23859452243231,2.24923480080186e-05,0.00296650757277988
"52","Siderastrea_Mexico_Barshis-Radice_Host_contig04244",14.7717096765697,-1.91002249615636,0.451739690852055,-4.22814849975602,2.35622263958302e-05,0.0029910433930553
"53","Siderastrea_Mexico_Barshis-Radice_Host_contig12877",8.12865952252307,-2.06350018274635,0.488804801566227,-4.2215219165902,2.42658355877469e-05,0.00302224114556071
"54","Siderastrea_Mexico_Barshis-Radice_Host_contig04708",25.8985076590606,-1.46645427086336,0.34812629681221,-4.21242027474417,2.52648900981725e-05,0.00308839888033401
"55","Siderastrea_Mexico_Barshis-Radice_Host_contig02547",55.9189920087994,2.62590084154292,0.625145133772347,4.20046593932085,2.66366239581686e-05,0.00319687917723402
"56","Siderastrea_Mexico_Barshis-Radice_Host_contig06987",25.713110422579,-1.65795638113939,0.398631267735591,-4.15912276665437,3.19472166928499e-05,0.00368447540921312
"57","Siderastrea_Mexico_Barshis-Radice_Host_contig14073",11.0932781470669,-1.67654296056626,0.403211654376883,-4.15797247516855,3.21084699769701e-05,0.00368447540921312
"58","Siderastrea_Mexico_Barshis-Radice_Host_contig17416",7.27339806992352,-1.83705122826448,0.442014142053846,-4.15609152170677,3.237381816912e-05,0.00368447540921312
"59","Siderastrea_Mexico_Barshis-Radice_Host_contig09129",5.1823362171409,-2.23674942616395,0.538846395288997,-4.15099636133656,3.31031029414649e-05,0.0037036200426544
"60","Siderastrea_Mexico_Barshis-Radice_Host_contig13006",89.5834996540425,1.21973513811329,0.294384234615651,4.14334395218475,3.42278001107823e-05,0.00376562847552123
"61","Siderastrea_Mexico_Barshis-Radice_Host_contig00715",37.0318052001463,-1.42332479577143,0.345760648123057,-4.11650314602854,3.84664081534178e-05,0.00396744937844861
"62","Siderastrea_Mexico_Barshis-Radice_Host_contig06545",16.1247181218761,-1.77724861765722,0.431361079056619,-4.12009498294106,3.78716243766945e-05,0.00396744937844861
"63","Siderastrea_Mexico_Barshis-Radice_Host_contig17520",9.32372756380538,-1.79639094322803,0.435832618148167,-4.12174506548136,3.76013181723495e-05,0.00396744937844861
"64","Siderastrea_Mexico_Barshis-Radice_Host_contig18162",3.50301754540095,-2.65599214888882,0.644550254992072,-4.12069055642758,3.7773849206776e-05,0.00396744937844861
