"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Siderastrea_Mexico_Barshis-Radice_Host_contig15511",64.9370816146259,-2.76834391929793,0.355727866339814,-7.78219583352357,7.12764190754245e-15,5.6999752334617e-11
"2","Siderastrea_Mexico_Barshis-Radice_Host_contig04290",45.2495681719175,-2.81834624836556,0.434397528279374,-6.48794264444571,8.70163910840451e-11,3.47935039749554e-07
"3","Siderastrea_Mexico_Barshis-Radice_Host_contig04159",4982.70165008965,-3.28066738923313,0.511048048822897,-6.41948912003388,1.36732427746746e-10,3.64483074896909e-07
"4","Siderastrea_Mexico_Barshis-Radice_Host_contig09664",245.289978792713,-3.89945056633843,0.621879437724902,-6.27042852647495,3.60055797162643e-10,7.19841552477414e-07
"5","Siderastrea_Mexico_Barshis-Radice_Host_contig14109",52.5301467360831,-1.98123180532965,0.324732988401998,-6.10111037711087,1.05334134594546e-09,1.68471414870517e-06
"6","Siderastrea_Mexico_Barshis-Radice_Host_contig18560",28.4522300679062,-3.02110070267473,0.505913505284761,-5.97157551857457,2.34973248022747e-09,3.13180177406317e-06
"7","Siderastrea_Mexico_Barshis-Radice_Host_contig12805",12.991202908702,-4.41079748339583,0.746995979986256,-5.90471381583203,3.53259439395825e-09,4.0357367669263e-06
"8","Siderastrea_Mexico_Barshis-Radice_Host_contig11093",16.9525781348701,-3.40865713309973,0.58718864909646,-5.80504602455246,6.43483257485744e-09,6.3275992067279e-06
"9","Siderastrea_Mexico_Barshis-Radice_Host_contig14545",493.325448952377,-2.8722753531706,0.496243123494373,-5.7880406139334,7.12121956490573e-09,6.3275992067279e-06
"10","Siderastrea_Mexico_Barshis-Radice_Host_contig05840",193.993504899096,-3.14421075955276,0.55054499803586,-5.71108768723744,1.12256383670293e-08,8.97714300211336e-06
"11","Siderastrea_Mexico_Barshis-Radice_Host_contig10590",175.924329444165,-5.18170351204715,0.918338329159546,-5.64247766592666,1.67620285567659e-08,1.21859947607688e-05
"12","Siderastrea_Mexico_Barshis-Radice_Host_contig03157",88.2677237461347,-3.04601241636239,0.54923706975007,-5.54589736222371,2.92450349985656e-08,1.79650326758914e-05
"13","Siderastrea_Mexico_Barshis-Radice_Host_contig07250",42.4767536972617,2.21666984468897,0.400220603480209,5.53862001459547,3.0486429757559e-08,1.79650326758914e-05
